Time,Signal
0,0.360519368292487
2.4636080549757e-15,0.360519368292487
2.46360805497573e-15,0.360519368292487
4.92721610995139e-15,0.360519368292488
4.92721610995145e-15,0.360519368292488
1.31392429598703e-14,0.360519368292486
1.31392429598705e-14,0.360519368292486
0.000185797613303212,0.36054690437381
0.000371595226593285,0.360574434171551
0.00130058329304365,0.360711988942123
0.00594552362529547,0.361397411275026
0.0291702252865546,0.364766224026823
0.14529373359285,0.380212363765746
0.325182308112254,0.399949594631999
0.617689615026095,0.422920005915852
1.04888377717715,0.441195021952534
1.64812240892567,0.446636223486882
2.45284133932668,0.435448524045051
3.45284133932668,0.41246757772515
4.45284133932668,0.390872589837115
5.45284133932668,0.325445117470844
6.45284133932668,0.287531651360585
7.45284133932668,0.287531651360585
8.45284133932668,0.287531651360585
9.45284133932668,0.287531651360585
10.4528413393267,0.313496525784339
11.4528413393267,0.328032428964274
12.4528413393267,0.334284425792233
13.4528413393267,0.336276756607419
14.4528413393267,0.336182719913798
15.4528413393267,0.289751286091624
16.2688818398569,0.287531651360585
17.2688818398569,0.287531651360585
18.2688818398569,0.287531651360585
19.2688818398569,0.287531651360585
20.2688818398569,0.287531651360585
21.2688818398569,0.287531651360585
21.8201393031387,0.346993848896284
22.3713967664204,0.392035612413886
23.1018273499271,0.393603115784903
24.1018273499271,0.378757428330011
25.1018273499271,0.360212191351128
26.1018273499271,0.344452521570707
27.1018273499271,0.332773329455422
28.1018273499271,0.3246317387937
29.1018273499271,0.319061784580729
29.702871946145,0.316578443013762
29.7028719461455,0.316578443013759
