Time,Signal
0,1115.9297941544
2.4636080549757e-15,1115.9297941544
2.46360805497573e-15,1115.9297941544
4.92721610995139e-15,1115.9297941544
4.92721610995145e-15,1115.9297941544
1.31392429598703e-14,1115.9297941544
1.31392429598705e-14,1115.9297941544
0.000185797613303212,1116.01503070442
0.000371595226593285,1116.10024780393
0.00130058329304365,1116.526041654
0.00594552362529547,1118.647731893
0.0291702252865546,1129.07572174598
0.14529373359285,1176.88846775845
0.325182308112254,1237.98406978903
0.617689615026095,1309.08781862725
1.04888377717715,1365.65720844922
1.64812240892567,1382.50017318744
2.45284133932668,1347.86921419592
3.45284133932668,1276.73285468528
4.45284133932668,1209.88665955271
5.45284133932668,1007.35922089415
6.45284133932668,890
7.45284133932668,890
8.45284133932668,890
9.45284133932668,890
10.4528413393267,970.372958360605
11.4528413393267,1015.36811304335
12.4528413393267,1034.72085369302
13.4528413393267,1040.88801318072
14.4528413393267,1040.59692734154
15.4528413393267,896.870767287451
16.2688818398569,890
17.2688818398569,890
18.2688818398569,890
19.2688818398569,890
20.2688818398569,890
21.2688818398569,890
21.8201393031387,1074.06223148126
22.3713967664204,1213.48673724265
23.1018273499271,1218.3388648175
24.1018273499271,1172.3847885461
25.1018273499271,1114.9789434353
26.1018273499271,1066.19568100288
27.1018273499271,1030.04333124576
28.1018273499271,1004.84144824936
29.1018273499271,987.599936092456
29.702871946145,979.912877603375
29.7028719461455,979.912877603365
